"_id","amount","balance","description","group","name","ref_id","transaction_date","type"
"5c8495429e44fa06907ac555",0,15299,"Final settlement","TA","intrepidtours","00048438","2019-03-10 11:40:34","confirmed"
"5c8474529e44fa06907ac4cc",0,15299,"Final settlement","TA","intrepidtours","00049175","2019-03-10 09:20:02","confirmed"
"5c846de18d9166396db0fbc6",-111,15299,"Approved order 5c838a819e44fa06907ac1d5","TA","intrepidtours","00049176","2019-03-10 08:52:33","withdraw"
"5c846dcd8d9166396db0fbc3",-74,15410,"Approved order 5c846d819e44fa06907ac4b3","TA","intrepidtours","00049175","2019-03-10 08:52:13","withdraw"
"5c846d819e44fa06907ac4b4",0,15484,"Make an order for an approval","TA","intrepidtours","5c846d819e44fa06907ac4b3","2019-03-10 08:50:57","tentative"
"5c846b3f9e44fa06907ac49d",148,15484,"Final ticket change","TA","intrepidtours","00048586","2019-03-10 08:41:19","confirm_refund"
"5c8460e68d9166396db0faf3",0,15336,"Final settlement","TA","intrepidtours","00048444","2019-03-10 07:57:10","confirmed"
"5c84395f8d9166396db0fa1d",0,15336,"Final settlement","TA","intrepidtours","00048439","2019-03-10 05:08:31","confirmed"
"5c838a819e44fa06907ac1d6",0,15336,"Make an order for an approval","TA","intrepidtours","5c838a819e44fa06907ac1d5","2019-03-09 16:42:25","tentative"
"5c831f928d9166396db0f5a6",74,15336,"Final ticket change","TA","intrepidtours","00048948","2019-03-09 09:06:10","confirm_refund"
"5c831a048d9166396db0f568",0,15262,"Split ticket","TA","intrepidtours","00048584","2019-03-09 08:42:28","split_confirmed"
"5c831a048d9166396db0f56a",0,15262,"Split order from 00048584","TA","intrepidtours","00048948","2019-03-09 08:42:28","split"
"5c8318779e44fa06907abd99",0,15262,"Final settlement","TA","intrepidtours","00048585","2019-03-09 08:35:51","confirmed"
"5c830af48d9166396db0f492",0,15262,"Final settlement","TA","intrepidtours","00048437","2019-03-09 07:38:12","confirmed"
"5c8308998d9166396db0f473",-37,15262,"Update an order","TA","intrepidtours","00048584","2019-03-09 07:28:09","extra"
"5c82e8749e44fa06907abc4e",0,15299,"Final settlement","TA","intrepidtours","00048440","2019-03-09 05:11:00","confirmed"
"5c823bd98d9166396db0f2d1",0,15299,"Final settlement","TA","intrepidtours","00048178","2019-03-08 16:54:33","confirmed"
"5c822cd78d9166396db0f277",0,15299,"Final settlement","TA","intrepidtours","00048183","2019-03-08 15:50:31","confirmed"
"5c81c4f69e44fa06907ab880",0,15299,"Final settlement","TA","intrepidtours","00048056","2019-03-08 08:27:18","confirmed"
"5c81c4c98d9166396db0f04a",0,15299,"Final settlement","TA","intrepidtours","00048583","2019-03-08 08:26:33","confirmed"
"5c81c4ab8d9166396db0f048",111,15299,"Final ticket change","TA","intrepidtours","00048582","2019-03-08 08:26:03","confirm_refund"
"5c81bd3d9e44fa06907ab841",0,15188,"Final settlement","TA","intrepidtours","00048057","2019-03-08 07:54:21","confirmed"
"5c81b99f9e44fa06907ab82f",111,15188,"Final ticket change","TA","intrepidtours","00048442","2019-03-08 07:38:55","confirm_refund"
"5c80ea118d9166396db0ee53",0,15077,"Final settlement","TA","intrepidtours","00048055","2019-03-07 16:53:21","confirmed"
"5c80bc3c8d9166396db0ecef",0,15077,"Final settlement","TA","intrepidtours","00048441","2019-03-07 13:37:48","confirmed"
"5c80a6dc9e44fa06907ab4ea",-185,15077,"Approved order 5c807d7c8d9166396db0eb41","TA","intrepidtours","00048590","2019-03-07 12:06:36","withdraw"
"5c80a6d48d9166396db0ec61",-186,15262,"Approved order 5c807d4f9e44fa06907ab3d9","TA","intrepidtours","00048589","2019-03-07 12:06:28","withdraw"
"5c80a6cc9e44fa06907ab4e7",-296,15448,"Approved order 5c807d2a8d9166396db0eb3c","TA","intrepidtours","00048588","2019-03-07 12:06:20","withdraw"
"5c80a6c29e44fa06907ab4e4",-124,15744,"Approved order 5c807c7d9e44fa06907ab3ca","TA","intrepidtours","00048587","2019-03-07 12:06:10","withdraw"
"5c80a6b99e44fa06907ab4dd",-185,15868,"Approved order 5c807c449e44fa06907ab3c4","TA","intrepidtours","00048586","2019-03-07 12:06:01","withdraw"
"5c80a6b08d9166396db0ec5e",-124,16053,"Approved order 5c807bde9e44fa06907ab3bf","TA","intrepidtours","00048585","2019-03-07 12:05:52","withdraw"
"5c80a6a69e44fa06907ab4da",-296,16177,"Approved order 5c807bae9e44fa06907ab3b9","TA","intrepidtours","00048584","2019-03-07 12:05:42","withdraw"
"5c80a69b8d9166396db0ec5b",-74,16473,"Approved order 5c807b408d9166396db0eb2c","TA","intrepidtours","00048583","2019-03-07 12:05:31","withdraw"
"5c80a68a8d9166396db0ec58",-185,16547,"Approved order 5c807b179e44fa06907ab3af","TA","intrepidtours","00048582","2019-03-07 12:05:14","withdraw"
"5c807d7c8d9166396db0eb42",0,16732,"Make an order for an approval","TA","intrepidtours","5c807d7c8d9166396db0eb41","2019-03-07 09:10:04","tentative"
"5c807d4f9e44fa06907ab3da",0,16732,"Make an order for an approval","TA","intrepidtours","5c807d4f9e44fa06907ab3d9","2019-03-07 09:09:19","tentative"
"5c807d2a8d9166396db0eb3d",0,16732,"Make an order for an approval","TA","intrepidtours","5c807d2a8d9166396db0eb3c","2019-03-07 09:08:42","tentative"
"5c807c7d9e44fa06907ab3cb",0,16732,"Make an order for an approval","TA","intrepidtours","5c807c7d9e44fa06907ab3ca","2019-03-07 09:05:49","tentative"
"5c807c449e44fa06907ab3c5",0,16732,"Make an order for an approval","TA","intrepidtours","5c807c449e44fa06907ab3c4","2019-03-07 09:04:52","tentative"
"5c807bde9e44fa06907ab3c0",0,16732,"Make an order for an approval","TA","intrepidtours","5c807bde9e44fa06907ab3bf","2019-03-07 09:03:10","tentative"
"5c807bae9e44fa06907ab3ba",0,16732,"Make an order for an approval","TA","intrepidtours","5c807bae9e44fa06907ab3b9","2019-03-07 09:02:22","tentative"
"5c807b408d9166396db0eb2d",0,16732,"Make an order for an approval","TA","intrepidtours","5c807b408d9166396db0eb2c","2019-03-07 09:00:32","tentative"
"5c807b179e44fa06907ab3b0",0,16732,"Make an order for an approval","TA","intrepidtours","5c807b179e44fa06907ab3af","2019-03-07 08:59:51","tentative"
"5c8075cc9e44fa06907ab36a",0,16732,"Final settlement","TA","intrepidtours","00048060","2019-03-07 08:37:16","confirmed"
"5c8071059e44fa06907ab317",74,16732,"Final ticket change","TA","intrepidtours","00048271","2019-03-07 08:16:53","confirm_refund"
"5c8070b79e44fa06907ab30c",0,16658,"Final settlement","TA","intrepidtours","00048272","2019-03-07 08:15:35","confirmed"
"5c805c468d9166396db0e9f4",0,16658,"Final settlement","TA","intrepidtours","00048059","2019-03-07 06:48:22","confirmed"
"5c80482c9e44fa06907ab22d",0,16658,"Final settlement","TA","intrepidtours","00048061","2019-03-07 05:22:36","confirmed"
"5c7fae108d9166396db0e900",62,16658,"Update an order","TA","intrepidtours","00048055","2019-03-06 18:25:04","refund"
"5c7f9c328d9166396db0e8d7",-37,16596,"Update an order","TA","intrepidtours","00048271","2019-03-06 17:08:50","extra"
"5c7f8fbf9e44fa06907ab10c",0,16633,"Final settlement","TA","intrepidtours","00048058","2019-03-06 16:15:43","confirmed"
"5c7f856e8d9166396db0e839",-620,16633,"Approved order 5c7f461d8d9166396db0e6c2","TA","intrepidtours","00048444","2019-03-06 15:31:42","withdraw"
"5c7f85518d9166396db0e836",-744,17253,"Approved order 5c7f46408d9166396db0e6c4","TA","intrepidtours","00048443","2019-03-06 15:31:13","withdraw"
